MonthlyIncome,Age,JobSatisfaction,YearsAtCompany,OverTime,Attrition
13191.0,41.0,4.0,1.0,Yes,1.0
15859.0,44.0,4.0,17.0,Yes,0.0
3885.0,27.0,4.0,0.0,Yes,1.0
6434.0,29.0,4.0,10.0,No,3.041494224
12511.5,41.0,2.0,38.52827745,Yes,1.0
14091.0,27.0,1.0,14.0,Yes,3.041494224
4670.0,53.0,4.0,9.0,Yes,0.0
4445.0,47.0,8.244641006,6.0,No,1.0
4163.0,38.0,4.0,38.52827745,No,0.0
18995.0,41.0,3.0,9.0,No,1.0
19988.0,44.0,4.0,18.0,No,1.0
3002.0,37.0,1.0,5.0,Yes,1.0
19921.0,27.0,1.0,9.0,No,1.0
18164.0,91.1672323,3.0,8.0,No,1.0
18759.0,56.0,4.0,38.52827745,No,0.0
12511.5,39.0,3.0,8.0,No,1.0
12511.5,22.0,3.0,19.0,Yes,0.0
18194.0,29.0,1.0,0.0,No,0.0
19033.0,33.0,4.0,6.0,Yes,0.0
11730.0,46.0,2.0,9.0,No,1.0
18983.0,34.0,1.0,3.0,No,1.0
12966.0,34.0,1.0,8.0,No,1.0
5207.0,28.0,1.0,8.0,No,1.0
36053.57291,33.0,1.0,9.0,Yes,1.0
8074.0,44.0,3.0,13.0,Yes,0.0
12511.5,26.0,4.0,4.0,Yes,0.0
12511.5,27.0,3.0,7.0,No,0.0
3847.0,54.0,2.0,8.0,Yes,0.0
17359.0,59.0,3.0,8.0,Yes,3.041494224
14330.0,23.0,2.0,16.0,No,1.0
15300.0,25.0,3.0,5.0,No,1.0
10280.0,56.0,4.0,18.0,No,1.0
8078.0,91.1672323,1.0,11.0,Yes,0.0
19229.0,41.0,4.0,11.0,No,0.0
16365.0,91.1672323,2.0,7.0,No,1.0
7789.0,37.0,2.0,7.0,No,3.041494224
6702.0,47.0,2.0,14.0,No,1.0
6559.0,38.0,1.0,12.0,No,1.0
3783.0,91.1672323,4.0,15.0,No,1.0
4970.0,91.1672323,4.0,5.0,No,0.0
14959.0,91.1672323,3.0,5.0,No,0.0
12693.0,49.0,4.0,9.0,Yes,0.0
14054.0,42.0,3.0,19.0,Yes,0.0
15832.0,37.0,2.0,9.0,No,1.0
12054.0,34.0,3.0,9.0,No,3.041494224
12511.5,35.0,8.244641006,9.0,Yes,1.0
6754.0,28.0,4.0,4.0,Yes,1.0
12331.0,50.0,4.0,18.0,No,0.0
36053.57291,49.0,1.0,11.0,No,1.0
19467.0,53.0,3.0,2.0,No,1.0
4700.0,30.0,3.0,17.0,Yes,0.0
13390.0,34.0,2.0,2.0,No,1.0
19115.0,26.0,1.0,9.0,No,1.0
12148.0,29.0,3.0,4.0,No,0.0
8419.0,41.0,4.0,18.0,No,3.041494224
8127.0,57.0,4.0,3.0,Yes,1.0
12692.0,22.0,3.0,13.0,No,0.0
15219.0,30.0,2.0,12.0,No,1.0
14654.0,49.0,1.0,16.0,Yes,0.0
15382.0,36.0,3.0,0.0,No,1.0
12511.5,48.0,4.0,3.0,No,0.0
36053.57291,51.0,1.0,9.0,No,3.041494224
9625.0,24.0,4.0,14.0,Yes,1.0
5833.0,52.0,3.0,0.0,Yes,1.0
19028.0,28.0,1.0,11.0,Yes,1.0
7063.0,34.0,1.0,9.0,No,0.0
4907.0,40.0,4.0,2.0,No,1.0
12084.0,34.0,4.0,10.0,Yes,1.0
3302.0,91.1672323,4.0,19.0,Yes,0.0
16856.0,47.0,2.0,38.52827745,Yes,1.0
16002.0,38.0,3.0,14.0,Yes,0.0
7483.0,29.0,4.0,4.0,Yes,1.0
12511.5,29.0,3.0,6.0,Yes,0.0
4688.0,35.0,3.0,19.0,Yes,1.0
13863.0,44.0,2.0,19.0,Yes,0.0
6892.0,38.0,3.0,1.0,Yes,1.0
15697.0,31.0,2.0,2.0,Yes,1.0
7547.0,33.0,4.0,0.0,Yes,1.0
14604.0,41.0,4.0,1.0,No,0.0
4261.0,29.0,4.0,5.0,Yes,0.0
16577.0,45.0,2.0,17.0,No,0.0
14399.0,49.0,2.0,0.0,Yes,0.0
10374.0,47.0,4.0,13.0,Yes,1.0
12511.5,38.0,2.0,5.0,Yes,0.0
6309.0,30.0,1.0,13.0,Yes,1.0
3836.0,24.0,2.0,7.0,Yes,0.0
5877.0,51.0,2.0,7.0,No,0.0
4369.0,49.0,2.0,0.0,No,0.0
13629.0,41.0,8.244641006,2.0,Yes,1.0
10735.0,43.0,3.0,1.0,Yes,1.0
13392.0,41.0,3.0,2.0,Yes,0.0
7543.0,52.0,3.0,9.0,No,1.0
